experiment,property,metric,value
Exp-0_hard_data_statistics,porosity,mean,5.531674861907959
Exp-0_hard_data_statistics,porosity,std,2.3064544200897217
Exp-0_hard_data_statistics,oil_saturation,mean,53.80085754394531
Exp-0_hard_data_statistics,oil_saturation,std,7.3863606452941895
Exp-0_hard_data_statistics,brittleness_index,mean,53.61188507080078
Exp-0_hard_data_statistics,brittleness_index,std,1.496689796447754
Exp-0_hard_data_statistics,SH1,mean,35.94221115112305
Exp-0_hard_data_statistics,SH1,std,0.45697644352912903
Exp-0_hard_data_statistics,SH2,mean,30.179656982421875
Exp-0_hard_data_statistics,SH2,std,0.46420976519584656
Exp-0_hard_data_statistics,permeability,mean,0.23217202723026276
Exp-0_hard_data_statistics,permeability,std,0.004126323852688074
Exp-0_hard_data_statistics,gamma,mean,130.51661682128906
Exp-0_hard_data_statistics,gamma,std,21.02092170715332
Exp-0_hard_data_statistics,stress,mean,35.827125549316406
Exp-0_hard_data_statistics,stress,std,6.796711444854736
Exp-0_hard_data_statistics,grid,missing_count,4185
Exp-0_hard_data_statistics,grid,duplicate_count,0
Exp-1_no_stress_rock_physics,Vp,mean,3615.52294921875
Exp-1_no_stress_rock_physics,Vp,std,196.645751953125
Exp-1_no_stress_rock_physics,Vp,p10,3349.202880859375
Exp-1_no_stress_rock_physics,Vp,p50,3618.566650390625
Exp-1_no_stress_rock_physics,Vp,p90,3860.65771484375
Exp-1_no_stress_rock_physics,Vp,facies_0_mean,3610.944580078125
Exp-1_no_stress_rock_physics,Vp,facies_0_std,222.84881591796875
Exp-1_no_stress_rock_physics,Vp,facies_1_mean,3631.63916015625
Exp-1_no_stress_rock_physics,Vp,facies_1_std,159.21932983398438
Exp-1_no_stress_rock_physics,Vp,facies_2_mean,3607.5712890625
Exp-1_no_stress_rock_physics,Vp,facies_2_std,109.12876892089844
Exp-1_no_stress_rock_physics,Vp,facies_3_mean,3600.1064453125
Exp-1_no_stress_rock_physics,Vp,facies_3_std,194.33474731445312
Exp-1_no_stress_rock_physics,Vp,facies_separability_fisher,0.002878471225709646
Exp-1_no_stress_rock_physics,Vs,mean,2056.494873046875
Exp-1_no_stress_rock_physics,Vs,std,144.31729125976562
Exp-1_no_stress_rock_physics,Vs,p10,1854.57568359375
Exp-1_no_stress_rock_physics,Vs,p50,2066.98291015625
Exp-1_no_stress_rock_physics,Vs,p90,2243.765625
Exp-1_no_stress_rock_physics,Vs,facies_0_mean,2000.1136474609375
Exp-1_no_stress_rock_physics,Vs,facies_0_std,142.9965362548828
Exp-1_no_stress_rock_physics,Vs,facies_1_mean,2144.315673828125
Exp-1_no_stress_rock_physics,Vs,facies_1_std,112.17337036132812
Exp-1_no_stress_rock_physics,Vs,facies_2_mean,2086.3154296875
Exp-1_no_stress_rock_physics,Vs,facies_2_std,73.17636108398438
Exp-1_no_stress_rock_physics,Vs,facies_3_mean,2095.603271484375
Exp-1_no_stress_rock_physics,Vs,facies_3_std,133.20065307617188
Exp-1_no_stress_rock_physics,Vs,facies_separability_fisher,0.24619030979678364
Exp-1_no_stress_rock_physics,density,mean,2.52990984916687
Exp-1_no_stress_rock_physics,density,std,0.02960149012506008
Exp-1_no_stress_rock_physics,density,p10,2.4921398162841797
Exp-1_no_stress_rock_physics,density,p50,2.5279061794281006
Exp-1_no_stress_rock_physics,density,p90,2.570077419281006
Exp-1_no_stress_rock_physics,density,facies_0_mean,2.5464606285095215
Exp-1_no_stress_rock_physics,density,facies_0_std,0.025127019733190536
Exp-1_no_stress_rock_physics,density,facies_1_mean,2.508213996887207
Exp-1_no_stress_rock_physics,density,facies_1_std,0.02123955823481083
Exp-1_no_stress_rock_physics,density,facies_2_mean,2.517514228820801
Exp-1_no_stress_rock_physics,density,facies_2_std,0.014549808576703072
Exp-1_no_stress_rock_physics,density,facies_3_mean,2.5089499950408936
Exp-1_no_stress_rock_physics,density,facies_3_std,0.024549437686800957
Exp-1_no_stress_rock_physics,density,facies_separability_fisher,0.6153217581701828
Exp-1_no_stress_rock_physics,AI,mean,9151.380859375
Exp-1_no_stress_rock_physics,AI,std,584.4678955078125
Exp-1_no_stress_rock_physics,AI,p10,8371.1748046875
